abbreviation,alt_color,alt_name1,alt_name2,alt_name3,classification,color,conference,id,location_capacity,location_city,location_country_code,location_dome,location_elevation,location_grass,location_latitude,location_longitude,location_name,location_state,location_timezone,location_venue_id,location_year_constructed,location_zip,logo,logos,mascot,school,twitter
BAL,,,BAL,Bald Wallace,iii,,Ohio,188,7800,Berea,US,False,,,41.3661614,-81.8543026,George Finnie Stadium,OH,,5801,,44017,http://a.espncdn.com/i/teamlogos/ncaa/500/188.png,,Yellow Jackets,Baldwin Wallace,
BALL,#ffffff,,BALL,Ball State,fbs,#DA0000,Mid-American,2050,22500,Muncie,US,False,285.481781,False,40.2159422,-85.4161148,Scheumann Stadium,IN,America/Indiana/Indianapolis,3919,1967,47306,http://a.espncdn.com/i/teamlogos/ncaa/500/2050.png,,Cardinals,Ball State,@BallStateFB
,,,,,,,,1001010,,,,,,,,,,,,,,,,,,Barton C.C.,
BAT,#b2b3b2,Bates,BAT,Bates,iii,#a51e36,NESCAC,121,3500,Lewiston,US,False,,,44.100351,-70.2147764,Garcelon Field,ME,,3733,,04240,http://a.espncdn.com/i/teamlogos/ncaa/500/121.png,,Bobcats,Bates,
BAY,#ffb81c,,BAY,Baylor,fbs,#154734,Big 12,239,45140,Waco,US,False,117.0538101,False,31.5582015,-97.1156702,McLane Stadium,TX,America/Chicago,4727,2014,76704,http://a.espncdn.com/i/teamlogos/ncaa/500/239.png,,Bears,Baylor,@BUFootball
BEC,,,BEC,Becker College,,#000000,,479,,,,,,,,,,,,,,,http://a.espncdn.com/i/teamlogos/ncaa/500/479.png,,Hawks,Becker College,
BEL,,Beloit,BEL,Beloit,iii,,Midwest,266,3000,Beloit,US,False,,,42.5083272,-89.031784,Strong Stadium,WI,,3945,,53500,http://a.espncdn.com/i/teamlogos/ncaa/500/266.png,,Buccaneers,Beloit,
BST,,,BST,Bemidji St,ii,,Northern Sun,132,3500,Bemidji,US,False,,,47.4785418,-94.8907869,Chet Anderson Stadium,MN,,5874,,56601,http://a.espncdn.com/i/teamlogos/ncaa/500/132.png,,Beavers,Bemidji State,
BEN,,,BEN,Benedict,ii,,SIAC,490,10000,Columbia,US,False,,,34.0007493,-81.0343313,Charlie W. Johnson Stadium,SC,,5875,,29201,http://a.espncdn.com/i/teamlogos/ncaa/500/490.png,,Tigers,Benedict College,
BENC,,,BENC,Bndctn Col,,,,16111,,,,,,,,,,,,,,,http://a.espncdn.com/i/teamlogos/ncaa/500/16111.png,,Ravens,Benedictine College,
BENILL,,,BENILL,Benedictine,iii,,NACC,2283,3071,Lisle,US,False,,,41.801159,-88.0747687,Village of Lisle-Benedictine University Sports Complex,IL,,6284,,60532,http://a.espncdn.com/i/teamlogos/ncaa/500/2283.png,,Eagles,Benedictine University,
BENT,,,BENT,Bentley,ii,,Northeast 10,2060,4800,Waltham,US,False,,,42.3756401,-71.2358004,Bentley University Football Stadium,MA,,5876,,05491,http://a.espncdn.com/i/teamlogos/ncaa/500/2060.png,,Falcons,Bentley,
BER,,,BER,Berry,iii,,Southern Athletic,2757,2500,Mount Berry,US,False,,,34.275093,-85.1832843,Valhalla Stadium,GA,,4422,,30149,http://a.espncdn.com/i/teamlogos/ncaa/500/2757.png,,Vikings,Berry College,
,,,,Bethany Co,,,,121695,,,,,,,,,,,,,,,,,Bethany Co,Bethany Co,
BETHA,,Bethany (Kansas),BETHA,Bethany KS,,,,492,,,,,,,,,,,,,,,http://a.espncdn.com/i/teamlogos/ncaa/500/492.png,,Bethany (Ks),Bethany (KS),
BETHWV,,Bethany (West Virginia),BETHWV,Bethany (WV),iii,,Presidents',2062,1000,Bethany,US,False,,,40.205627,-80.5567384,Bison Stadium,WV,,5803,,,http://a.espncdn.com/i/teamlogos/ncaa/500/2062.png,,Bison,Bethany (WV),
,,,,Bethel Col,,,,121754,,,,,,,,,,,,,,,,,Bethel Col,Bethel Col,
BET,#b59859,,BET,Bethel (MN),iii,#002d62,Minnesota,2802,8000,Arden Hills,US,False,,,45.0761409,-93.1666945,Royal Stadium,MN,,5804,,55126,http://a.espncdn.com/i/teamlogos/ncaa/500/2802.png,,Royals,Bethel (MN),
BETHTN,,,BETHTN,Bethel TN,,,,2064,,,,,,,,,,,,,,,http://a.espncdn.com/i/teamlogos/ncaa/500/2064.png,,Wildcats,Bethel University Tennessee,
BCU,#e9aa12,,BCU,Bethune,fcs,#7b1831,SWAC,2065,10000,Daytona Beach,US,False,9.516305923,False,29.173466,-81.117511,Municipal Stadium,FL,America/New_York,3850,1979,32114,http://a.espncdn.com/i/teamlogos/ncaa/500/2065.png,,Wildcats,Bethune-Cookman,@BCUGridiron
NWENG,,,NWENG,NEWENGLAND,iii,,Commonwealth Coast,111675,1600,Portland,US,False,,,43.6610277,-70.2548596,Blue Storm Stadium,ME,,6135,,04102,,,Nor'easters,Biddeford,
BIR,,,BIR,Birmingham-Southern,iii,#000000,Southern Athletic,3,1600,Birmingham,US,False,,,33.5206824,-86.8024326,General Charles C. Krulak Stadium,AL,,3871,,35202,http://a.espncdn.com/i/teamlogos/ncaa/500/3.png,,Panthers,Birmingham-Southern,
BLA,,,BLA,Blackburn,,#000000,,2070,,,,,,,,,,,,,,,http://a.espncdn.com/i/teamlogos/ncaa/500/2070.png,,Beavers,Blackburn,
BHST,,,BHST,Black Hills St,ii,,Rocky Mountain,2069,4200,Spearfish,US,False,,,44.490817,-103.85937,Lyle Hare Stadium,SD,,5877,,57783,http://a.espncdn.com/i/teamlogos/ncaa/500/2069.png,,Yellow Jackets,Black Hills State,
,,,,,,,,1000949,,,,,,,,,,,,,,,,,,Blinn College,
,,,,,,,,1000962,,,,,,,,,,,,,,,,,,Blinn College,
,,,,,,,,1000959,,,,,,,,,,,,,,,,,,Blinn College,
,,,,,,,,1000961,,,,,,,,,,,,,,,,,,Blinn College,
BLMSB,,,BLMSB,Bloomsburg,ii,,Pennsylvania State Athletic,2071,5000,Bloomsburg,US,False,,,41.0044958,-76.4537302,Robert B. Redman Stadium,PA,,4435,,17815,http://a.espncdn.com/i/teamlogos/ncaa/500/2071.png,,Huskies,Bloomsburg,
BLU,,,BLU,Bluefield,,,,495,,,,,,,,,,,,,,,http://a.espncdn.com/i/teamlogos/ncaa/500/495.png,,Ramblin' Rams,BLUEFIELD,
BLU,,,BLU,Bluefield St,ii,,CIAA,124180,10000,Bluefield,US,False,,,37.2698395,-81.2223195,Mitchell Stadium,WV,,6221,,24701,,,Big Blues,Bluefield State,
BLUFFTON,#ffffff,,BLUFFTON,Bluffton,iii,#46166a,Heartland,2074,2600,Bluffton,US,False,,,40.8934459,-83.8917849,Alumni Field (OH),OH,,5805,,45817,http://a.espncdn.com/i/teamlogos/ncaa/500/2074.png,,Beavers,Bluffton,
BOIS,#fa4616,,BOIS,Boise St,fbs,#0033a0,Mountain West,68,36387,Boise,US,False,823.2221069,False,43.6028839,-116.1958882,Albertsons Stadium,ID,America/Boise,3653,1970,83725,http://a.espncdn.com/i/teamlogos/ncaa/500/68.png,,Broncos,Boise State,@BroncoSportsFB
BC,#dbcca6,,BC,Boston College,fbs,#8c2232,ACC,103,44500,Chestnut Hill,US,False,39.82634354,False,42.335104,-71.1664413,"Alumni Stadium (Chestnut Hill, MA)",MA,America/New_York,3615,1957,2467 ,http://a.espncdn.com/i/teamlogos/ncaa/500/103.png,,Eagles,Boston College,@BCFootball
