conference,year,teamId,team,conferenceGames_games,conferenceGames_wins,conferenceGames_losses,conferenceGames_ties,homeGames_games,homeGames_wins,homeGames_losses,homeGames_ties,awayGames_games,awayGames_wins,awayGames_losses,awayGames_ties,total_games,total_wins,total_losses,total_ties
Big 12,2001,245,Texas A&M,8,4,4,0,7,6,1,0,5,2,3,0,12,8,4,0
Conference USA,2001,248,Houston,7,0,7,0,6,0,6,0,5,0,5,0,11,0,11,0
Sun Belt,2001,249,North Texas,6,5,1,0,5,3,2,0,7,2,5,0,12,5,7,0
Big 12,2001,251,Texas,9,7,2,0,8,6,2,0,5,5,0,0,13,11,2,0
Mountain West,2001,252,BYU,10,9,1,0,7,6,1,0,7,6,1,0,14,12,2,0
Mountain West,2001,254,Utah,10,6,4,0,6,6,0,0,6,2,4,0,12,8,4,0
ACC,2001,258,Virginia,11,5,6,0,7,4,3,0,5,1,4,0,12,5,7,0
Big East,2001,259,Virginia Tech,7,4,3,0,7,4,3,0,5,4,1,0,12,8,4,0
Pac-10,2001,264,Washington,9,7,2,0,6,6,0,0,6,2,4,0,12,8,4,0
Pac-10,2001,265,Washington State,9,7,2,0,7,6,1,0,5,4,1,0,12,10,2,0
Big Ten,2001,275,Wisconsin,10,4,6,0,7,3,4,0,5,2,3,0,12,5,7,0
Mid-American,2001,276,Marshall,9,8,1,0,7,7,0,0,6,4,2,0,13,11,2,0
Big East,2001,277,West Virginia,7,1,6,0,6,3,3,0,5,0,5,0,11,3,8,0
Western Athletic,2001,278,Fresno State,8,6,2,0,7,5,2,0,7,6,1,0,14,11,3,0
Sun Belt,2001,309,Louisiana,6,2,4,0,5,2,3,0,6,1,5,0,11,3,8,0
FBS Independents,2001,328,Utah State,0,0,0,0,5,3,2,0,6,1,5,0,11,4,7,0
SEC,2001,333,Alabama,8,4,4,0,7,4,3,0,5,3,2,0,12,7,5,0
SEC,2001,344,Mississippi State,8,2,6,0,7,3,4,0,4,0,4,0,11,3,8,0
Conference USA,2001,349,Army,8,2,6,0,5,2,3,0,6,1,5,0,11,3,8,0
Big Ten,2001,356,Illinois,10,9,1,0,7,6,1,0,5,4,1,0,12,10,2,0
Mountain West,2001,2005,Air Force,8,4,4,0,6,4,2,0,6,2,4,0,12,6,6,0
Mid-American,2001,2006,Akron,8,4,4,0,4,3,1,0,7,1,6,0,11,4,7,0
Sun Belt,2001,2032,Arkansas State,6,2,4,0,6,2,4,0,5,0,5,0,11,2,9,0
Mid-American,2001,2050,Ball State,7,4,3,0,5,2,3,0,6,3,3,0,11,5,6,0
Mid-American,2001,2084,Buffalo,8,1,7,0,5,1,4,0,6,2,4,0,11,3,8,0
FBS Independents,2001,2116,UCF,0,0,0,0,5,5,0,0,6,1,5,0,11,6,5,0
Mid-American,2001,2117,Central Michigan,8,2,6,0,5,2,3,0,6,1,5,0,11,3,8,0
Conference USA,2001,2132,Cincinnati,8,5,3,0,6,3,3,0,6,4,2,0,12,7,5,0
Mid-American,2001,2199,Eastern Michigan,7,1,6,0,5,2,3,0,6,0,6,0,11,2,9,0
Big Ten,2001,2294,Iowa,8,4,4,0,6,5,1,0,6,2,4,0,12,7,5,0
Big 12,2001,2305,Kansas,8,1,7,0,7,2,5,0,4,1,3,0,11,3,8,0
Big 12,2001,2306,Kansas State,8,3,5,0,7,4,3,0,5,2,3,0,12,6,6,0
Mid-American,2001,2309,Kent State,8,5,3,0,5,4,1,0,6,2,4,0,11,6,5,0
Western Athletic,2001,2348,Louisiana Tech,8,7,1,0,5,4,1,0,7,3,4,0,12,7,5,0
Big East,2001,2390,Miami,7,7,0,0,7,7,0,0,5,5,0,0,12,12,0,0
Sun Belt,2001,2393,Middle Tennessee,6,5,1,0,5,5,0,0,6,3,3,0,11,8,3,0
FBS Independents,2001,2426,Navy,0,0,0,0,6,0,6,0,4,0,4,0,10,0,10,0
Sun Belt,2001,2433,UL Monroe,6,2,4,0,5,1,4,0,6,1,5,0,11,2,9,0
Mountain West,2001,2439,UNLV,9,3,6,0,5,1,4,0,6,3,3,0,11,4,7,0
Western Athletic,2001,2440,Nevada,8,3,5,0,5,2,3,0,6,1,5,0,11,3,8,0
Mid-American,2001,2459,Northern Illinois,7,4,3,0,6,5,1,0,5,1,4,0,11,6,5,0
Pac-10,2001,2483,Oregon,10,9,1,0,7,6,1,0,5,5,0,0,12,11,1,0
Big Ten,2001,2509,Purdue,10,5,5,0,6,4,2,0,6,2,4,0,12,6,6,0
Western Athletic,2001,2567,SMU,8,4,4,0,6,2,4,0,5,2,3,0,11,4,7,0
Conference USA,2001,2572,Southern Miss,8,4,4,0,5,4,1,0,6,2,4,0,11,6,5,0
SEC,2001,2579,South Carolina,8,5,3,0,8,7,1,0,4,2,2,0,12,9,3,0
Conference USA,2001,2628,TCU,7,4,3,0,4,2,2,0,8,4,4,0,12,6,6,0
SEC,2001,2633,Tennessee,9,7,2,0,7,6,1,0,6,5,1,0,13,11,2,0
Western Athletic,2001,2638,UTEP,8,1,7,0,5,2,3,0,6,0,6,0,11,2,9,0
Big 12,2001,2641,Texas Tech,8,4,4,0,7,4,3,0,5,3,2,0,12,7,5,0
Mid-American,2001,2649,Toledo,8,6,2,0,7,7,0,0,5,3,2,0,12,10,2,0
FBS Independents,2001,2653,Troy,0,0,0,0,5,5,0,0,6,2,4,0,11,7,4,0
Conference USA,2001,2655,Tulane,8,1,7,0,5,2,3,0,7,1,6,0,12,3,9,0
Mid-American,2001,2711,Western Michigan,8,4,4,0,5,4,1,0,6,1,5,0,11,5,6,0
Mountain West,2001,2751,Wyoming,7,0,7,0,6,1,5,0,5,1,4,0,11,2,9,0
SEC,2002,2,Auburn,8,5,3,0,8,6,2,0,5,3,2,0,13,9,4,0
Conference USA,2002,5,UAB,8,4,4,0,6,4,2,0,6,1,5,0,12,5,7,0
SEC,2002,8,Arkansas,9,5,4,0,9,6,3,0,5,3,2,0,14,9,5,0
Pac-10,2002,9,Arizona State,10,6,4,0,8,5,3,0,6,3,3,0,14,8,6,0
Pac-10,2002,12,Arizona,10,2,8,0,7,3,4,0,5,1,4,0,12,4,8,0
Mountain West,2002,21,San Diego State,9,4,5,0,5,2,3,0,8,2,6,0,13,4,9,0
Western Athletic,2002,23,San José State,8,4,4,0,4,2,2,0,9,4,5,0,13,6,7,0
Pac-10,2002,24,Stanford,8,1,7,0,5,2,3,0,6,0,6,0,11,2,9,0
Pac-10,2002,25,California,10,5,5,0,7,4,3,0,5,3,2,0,12,7,5,0
Pac-10,2002,26,UCLA,11,7,4,0,6,2,4,0,7,6,1,0,13,8,5,0
Pac-10,2002,30,USC,9,8,1,0,7,7,0,0,6,4,2,0,13,11,2,0
Mountain West,2002,36,Colorado State,11,8,3,0,6,4,2,0,8,6,2,0,14,10,4,0
Big 12,2002,38,Colorado,9,7,2,0,8,5,3,0,6,4,2,0,14,9,5,0
FBS Independents,2002,41,UConn,0,0,0,0,6,3,3,0,6,3,3,0,12,6,6,0
ACC,2002,52,Florida State,9,7,2,0,7,5,2,0,7,4,3,0,14,9,5,0
SEC,2002,57,Florida,8,6,2,0,8,5,3,0,5,3,2,0,13,8,5,0
FBS Independents,2002,58,South Florida,4,4,0,0,6,6,0,0,5,3,2,0,11,9,2,0
ACC,2002,59,Georgia Tech,9,5,4,0,6,4,2,0,7,3,4,0,13,7,6,0
SEC,2002,61,Georgia,9,8,1,0,8,7,1,0,6,6,0,0,14,13,1,0
Western Athletic,2002,62,Hawai'i,8,7,1,0,9,7,2,0,5,3,2,0,14,10,4,0
Big 12,2002,66,Iowa State,8,4,4,0,8,6,2,0,6,1,5,0,14,7,7,0
Western Athletic,2002,68,Boise State,8,8,0,0,7,7,0,0,6,5,1,0,13,12,1,0
Sun Belt,2002,70,Idaho,6,1,5,0,5,2,3,0,7,0,7,0,12,2,10,0
Big Ten,2002,77,Northwestern,11,2,9,0,6,2,4,0,6,1,5,0,12,3,9,0
Big Ten,2002,84,Indiana,10,2,8,0,6,3,3,0,6,0,6,0,12,3,9,0
FBS Independents,2002,87,Notre Dame,0,0,0,0,7,5,2,0,6,5,1,0,13,10,3,0
SEC,2002,96,Kentucky,8,3,5,0,7,4,3,0,5,3,2,0,12,7,5,0
Conference USA,2002,97,Louisville,11,7,4,0,6,3,3,0,7,4,3,0,13,7,6,0
SEC,2002,99,LSU,8,5,3,0,8,6,2,0,5,2,3,0,13,8,5,0
Big East,2002,103,Boston College,7,3,4,0,7,6,1,0,6,3,3,0,13,9,4,0
ACC,2002,120,Maryland,8,6,2,0,8,6,2,0,6,5,1,0,14,11,3,0
Big Ten,2002,127,Michigan State,9,2,7,0,8,3,5,0,4,1,3,0,12,4,8,0
Big Ten,2002,130,Michigan,10,8,2,0,7,6,1,0,6,4,2,0,13,10,3,0
Big Ten,2002,135,Minnesota,8,3,5,0,8,6,2,0,5,2,3,0,13,8,5,0
Big 12,2002,142,Missouri,8,2,6,0,6,3,3,0,6,2,4,0,12,5,7,0
SEC,2002,145,Ole Miss,8,3,5,0,8,7,1,0,5,0,5,0,13,7,6,0
ACC,2002,150,Duke,11,1,10,0,6,1,5,0,6,1,5,0,12,2,10,0
Conference USA,2002,151,East Carolina,11,4,7,0,5,3,2,0,7,1,6,0,12,4,8,0
ACC,2002,152,NC State,10,7,3,0,7,6,1,0,7,5,2,0,14,11,3,0
ACC,2002,153,North Carolina,9,2,7,0,6,0,6,0,6,3,3,0,12,3,9,0
ACC,2002,154,Wake Forest,11,6,5,0,7,5,2,0,6,2,4,0,13,7,6,0
Big 12,2002,158,Nebraska,8,3,5,0,8,6,2,0,6,1,5,0,14,7,7,0
Big East,2002,164,Rutgers,7,0,7,0,6,1,5,0,6,0,6,0,12,1,11,0
Sun Belt,2002,166,New Mexico State,7,5,2,0,5,5,0,0,7,2,5,0,12,7,5,0
Mountain West,2002,167,New Mexico,9,5,4,0,7,5,2,0,7,2,5,0,14,7,7,0
Big East,2002,183,Syracuse,7,2,5,0,6,3,3,0,6,1,5,0,12,4,8,0
